Year,Year ending,AFM Sex,AFM Age Group,AFM Counter,"Rate per 100,000 population"
2018,March,Males,70-74 years,371,303.5
2018,March,Males,75 years and over,384,201.1
2018,March,Males,Total,"18,696",584.7
2018,March,People,00-04 years,598,147.1
2018,March,People,05-09 years,"1,351",334.0
2018,March,People,10-14 years,"2,468",657.7
2018,March,People,15-17 years,"2,779","1,289.9"
2018,March,People,18-19 years,"2,322","1,435.6"
2018,March,People,20-24 years,"8,151","1,700.6"
2018,March,People,25-29 years,"8,822","1,713.6"
2018,March,People,30-34 years,"9,459","1,864.1"
2018,March,People,35-39 years,"9,138","1,995.3"
2018,March,People,40-44 years,"8,140","1,968.0"
2018,March,People,45-49 years,"7,431","1,731.8"
2018,March,People,50-54 years,"4,875","1,254.5"
2018,March,People,55-59 years,"3,169",832.0
2018,March,People,60-64 years,"2,073",611.8
2018,March,People,65-69 years,"1,444",482.7
2018,March,People,70-74 years,983,390.0
2018,March,People,75 years and over,"1,033",236.4
2018,March,People,Total,"75,233","1,164.2"
2017,March,Females,00-04 years,319,161.7
2017,March,Females,05-09 years,683,355.3
2017,March,Females,10-14 years,"1,689",955.5
2017,March,Females,15-17 years,"2,062","1,960.8"
2017,March,Females,18-19 years,"2,011","2,586.3"
2017,March,Females,20-24 years,"6,759","2,974.7"
2017,March,Females,25-29 years,"7,503","2,992.9"
2017,March,Females,30-34 years,"7,876","3,169.9"
2017,March,Females,35-39 years,"7,408","3,377.2"
2017,March,Females,40-44 years,"6,654","3,198.9"
2017,March,Females,45-49 years,"5,487","2,523.1"
2017,March,Females,50-54 years,"3,432","1,734.1"
2017,March,Females,55-59 years,"2,088","1,089.3"
2017,March,Females,60-64 years,"1,342",784.9
2017,March,Females,65-69 years,960,630.7
2017,March,Females,70-74 years,583,477.7
2017,March,Females,75 years and over,617,256.7
2017,March,Females,Total,"58,242","1,822.6"
2017,March,Males,00-04 years,362,173.3
2017,March,Males,05-09 years,877,431.6
2017,March,Males,10-14 years,"1,192",637.6
2017,March,Males,15-17 years,747,681.7
2017,March,Males,18-19 years,552,675.8
2017,March,Males,20-24 years,"1,713",717.8
2017,March,Males,25-29 years,"1,720",688.6
2017,March,Males,30-34 years,"1,822",749.5
2017,March,Males,35-39 years,"1,875",859.5
2017,March,Males,40-44 years,"1,892",923.6
2017,March,Males,45-49 years,"1,809",879.6
2017,March,Males,50-54 years,"1,423",752.9
2017,March,Males,55-59 years,"1,053",576.4
2017,March,Males,60-64 years,707,440.4
2017,March,Males,65-69 years,593,413.4
2017,March,Males,70-74 years,389,337.4
2017,March,Males,75 years and over,381,206.4
2017,March,Males,Total,"19,370",619.6
2017,March,People,00-04 years,682,167.9
2017,March,People,05-09 years,"1,562",395.0
2017,March,People,10-14 years,"2,883",792.7
2017,March,People,15-17 years,"2,810","1,308.6"
2017,March,People,18-19 years,"2,563","1,607.5"
2017,March,People,20-24 years,"8,474","1,819.0"
2017,March,People,25-29 years,"9,230","1,844.2"
2017,March,People,30-34 years,"9,701","1,973.5"
2017,March,People,35-39 years,"9,288","2,123.0"
2017,March,People,40-44 years,"8,551","2,071.2"
2017,March,People,45-49 years,"7,302","1,725.7"
2017,March,People,50-54 years,"4,859","1,255.8"
2017,March,People,55-59 years,"3,155",842.7
2017,March,People,60-64 years,"2,052",619.0
2017,March,People,65-69 years,"1,560",527.6
2017,March,People,70-74 years,976,411.2
2017,March,People,75 years and over,"1,001",235.5
2017,March,People,Total,"77,700","1,229.1"
